x,Firm,City,State,Seed,Early Vent.,Late Vent.,# of Funds,Total Fund Raised ($M),# of Investments,# of Exits,1,#,2,#_2,3,#_3,4,#_4,5,#_5,Website,Crunchbase URL,LinkedIn URL,col_25,State_2,Count,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
,Alumni Ventures Group,Manchester,NH,1,1,1,5,$0.3,209,9,Health Care,20,Software,17,Internet,16,Enterprise Software,12,SaaS,11,avgfunds.com,https://www.crunchbase.com/organization/alumni-ventures-group,https://www.linkedin.com/company/avgfunds/,x,HI,1,,"https://www.linkedin.com/in/mike-collins-362100, https://www.linkedin.com/in/brianpkeil, https://www.linkedin.com/in/deeptechvc, https://www.linkedin.com/in/laurarippy","https://www.linkedin.com/in/michael-collins-av, https://www.linkedin.com/in/mperi1, https://www.linkedin.com/in/brianpkeil, https://www.linkedin.com/in/deeptechvc"
,Amasia,Burlingame,CA,1,1,1,2,$25.4,32,2,E-Commerce,6,Software,6,Education,5,Bitcoin,4,Finance,3,amasia.vc,https://www.crunchbase.com/organization/amasia#section-exits,https://www.linkedin.com/company/amasia/,x,LA,1,,"https://www.linkedin.com/in/ramananraghavendran, https://www.linkedin.com/in/john-kim-6241a16, https://www.linkedin.com/in/weepengyeo, https://www.linkedin.com/in/yoonju-julie-jung","https://www.linkedin.com/in/john-kim-6241a16, https://www.linkedin.com/in/alexandrkurilin, https://www.linkedin.com/in/ramananraghavendran, https://www.linkedin.com/in/mollywood, https://www.linkedin.com/in/yoonju-julie-jung"
,Ambition,Chattanooga,TN,1,,,,$7.9,,,,,,,,,,,,,tryambition.com,https://www.crunchbase.com/organization/ambition-inc#section-locked-marketplace,https://www.linkedin.com/company/ambition-llc/,x,IA,1,,"https://www.linkedin.com/in/travistruett, https://www.linkedin.com/in/jaredshoughton","https://www.linkedin.com/in/travistruett, https://www.linkedin.com/in/jaredshoughton"
,AME Cloud Ventures,Palo Alto,CA,1,,,,,192,24,Software,24,Analytics,20,Enterprise Software,19,Internet,16,Big data,15,amecloudventures.com,https://www.crunchbase.com/organization/ame-cloud-ventures,linkedin.com/company/3932683,x,KY,1,"https://www.linkedin.com/in/jeff-chung-756b591b, https://www.linkedin.com/in/nickadams2020",,"https://www.linkedin.com/in/jeff-chung-756b591b, https://www.linkedin.com/in/nickadams2020"
,Amino Capital,Palo Alto,CA,1,1,,3,$75.0,72,7,Software,13,Machine Learning,12,SaaS,9,Artificial Intelligence,9,Enterprise Software,9,aminocapital.com,https://www.crunchbase.com/organization/zpark-venture,https://www.linkedin.com/company/aminocapital/,x,KS,1,"https://www.linkedin.com/in/larryli, https://www.linkedin.com/in/suexu, https://www.linkedin.com/in/huican-zhu-7064222, https://www.linkedin.com/in/dr-maximilian-ibel","https://www.linkedin.com/in/larryli, https://www.linkedin.com/in/suexu, https://www.linkedin.com/in/huican-zhu-7064222, https://www.linkedin.com/in/jian-cai-8611094","https://www.linkedin.com/in/larryli, https://www.linkedin.com/in/suexu, https://www.linkedin.com/in/yi-li-b540072b, https://www.linkedin.com/in/jian-cai-8611094"
,Amity Ventures,San Francisco,CA,1,1,1,1,$48.4,3,,Computer,2,Software,2,Network Security,1,Robotics,1,Cyber Security,1,amityventures.com,https://www.crunchbase.com/organization/amity-ventures,https://www.linkedin.com/company/amity-ventures/,x,SC,1,,"https://www.linkedin.com/in/patrick-z-yang, https://www.linkedin.com/in/cjreim, https://www.linkedin.com/in/james-c-lee-58645023b, https://www.linkedin.com/in/peterwbell","https://www.linkedin.com/in/patrick-z-yang, https://www.linkedin.com/in/andyrav, https://www.linkedin.com/in/cjreim, https://www.linkedin.com/in/jason-b-wong-433b8911, https://www.linkedin.com/in/marcelinopantoja"
,Amplify,Los Angeles,CA,1,1,,5,$22.8,115,11,Mobile,13,E-Commerce,11,Health Care,9,Software,8,Apps,6,amplify.la,https://www.crunchbase.com/organization/amplify-la#section-exits,https://www.linkedin.com/company/amplify-la/,x,NM,1,,"https://www.linkedin.com/in/paulbricault, https://www.linkedin.com/in/mark-mcdermott-60840a13, https://www.linkedin.com/in/connorsundberg","https://www.linkedin.com/in/paulbricault, https://www.linkedin.com/in/mark-mcdermott-60840a13, https://www.linkedin.com/in/connorsundberg"
,Amplify Partners,Menlo Park,CA,1,,,3,$374.1,70,6,Software,14,Enterprise Software,12,Artificial Intelligence,9,Machine Learning,8,Analytics,8,amplifypartners.com,https://www.crunchbase.com/organization/amplify-partners,linkedin.com/company/2926380,x,Total,786,,"https://www.linkedin.com/in/sunildhaliwal, https://www.linkedin.com/in/dauber, https://www.linkedin.com/in/sarah-catanzaro-9770b98, https://www.linkedin.com/in/elliot-hershberg","https://www.linkedin.com/in/sunildhaliwal, https://www.linkedin.com/in/dauber, https://www.linkedin.com/in/sarah-catanzaro-9770b98, https://www.linkedin.com/in/elliot-hershberg"
,Amplo,Spring,TX,1,1,,1,$100.0,6,,Software,3,SaaS,2,GovTech,2,Health Care,1,Recruiting,1,amplovc.com,https://www.crunchbase.com/organization/amplo,https://www.linkedin.com/company/amplovc/,x,,,,https://www.linkedin.com/in/sheeltyle,"https://www.linkedin.com/in/sheeltyle, https://www.linkedin.com/in/rossalec, https://www.linkedin.com/in/the-hon-julia-gillard-ac-659b88306, https://www.linkedin.com/in/yue-ting-li-ab972024a"
,Analytics Ventures,San Diego,CA,1,,,,,12,1,Software,4,Mobile,4,Analytics,3,Health Care,2,Machine Learning,2,analytics-ventures.com,https://www.crunchbase.com/organization/analytics-ventures,linkedin.com/company/2620645,x,,,"https://www.linkedin.com/in/navid-alipour-a295777, https://www.linkedin.com/in/homa-karimabadi-8b2a932, https://www.linkedin.com/in/matt-seefeld-521319, https://www.linkedin.com/in/olgakubassova","https://www.linkedin.com/in/blaisebarrelet, https://www.linkedin.com/in/navid-alipour-a295777","https://www.linkedin.com/in/navid-alipour-a295777, https://www.linkedin.com/in/homa-karimabadi-8b2a932, https://www.linkedin.com/in/matt-seefeld-521319, https://www.linkedin.com/in/olgakubassova, https://www.linkedin.com/in/blaisebarrelet"
,AngelPad,San Francisco,CA,1,,,2,$35.0,165,22,Mobile,30,Enterprise Software,16,Software,15,SaaS,14,Analytics,13,angelpad.org,https://www.crunchbase.com/organization/angelpad,https://www.linkedin.com/company/angelpad-llc/,x,,,,"https://www.linkedin.com/in/thomaskorte, https://www.linkedin.com/in/carinemagescas","https://www.linkedin.com/in/thomaskorte, https://www.linkedin.com/in/carinemagescas"
,Antecedent Ventures,Brooklyn,NY,1,1,,,,9,1,Cyber Security,3,Security,3,SaaS,2,Analytics,2,Cloud Security,2,antecedent.vc,https://www.crunchbase.com/organization/antecedent-ventures,https://www.linkedin.com/company/antecedent-ventures/,x,,,,,"https://www.linkedin.com/in/simon-hensellek, https://www.linkedin.com/in/arif-fazal-sanfrancisco, https://www.linkedin.com/in/sbberg1"
,AOL Ventures,New York,NY,1,,,1,$15.0,38,12,Advertising,7,Mobile,7,E-Commerce,4,Publishing,4,Analytics,4,aolventures.com,https://www.crunchbase.com/organization/aol-ventures,linkedin.com/company/803523,x,,,,https://www.linkedin.com/in/browmich,https://www.linkedin.com/in/browmich
,Arafura Ventures,Palo Alto,CA,1,1,1,,,7,,SaaS,2,Developer Tools,2,Mobile,2,Crowdsourcing,1,Mobile Payments,1,arafuraventures.com,https://www.crunchbase.com/organization/arafura-ventures,https://www.linkedin.com/company/arafura-ventures/,x,,,,"https://www.linkedin.com/in/marcphillips, https://www.linkedin.com/in/joe-kennedy-3494a682","https://www.linkedin.com/in/marcphillips, https://www.linkedin.com/in/joe-kennedy-3494a682"
,Archer VC,Los Angeles,CA,1,1,1,1,$80.0,1,,Advertising,2,Marketing,1,Publishing,1,Advertising Platforms,1,Financial Service,1,archervc.com,https://www.crunchbase.com/organization/archer-venture-capital,https://www.linkedin.com/company/archer-venture-capital/,x,,,,"https://www.linkedin.com/in/gregmartin72, https://www.linkedin.com/in/johnhadl, https://www.linkedin.com/in/georgebell","https://www.linkedin.com/in/gregmartin72, https://www.linkedin.com/in/johnhadl, https://www.linkedin.com/in/georgebell"
,"Argona Partners, Inc.",Indianapolis,IN,1,,,,,,,,,,,,,,,,,argonapartners.com,,linkedin.com/company/18687476,x,,,,https://www.linkedin.com/in/scott-smyers-546b343,https://www.linkedin.com/in/scott-smyers-546b343
,Aristos Ventures,Dallas,TX,1,1,,2,$25.0,10,1,Cloud Computing,2,Smaill and Medium Businesses,2,Information Technology,2,Data Integration,1,Web Development,1,aristosventures.com,https://www.crunchbase.com/organization/aristos-ventures,https://www.linkedin.com/company/aristos-ventures/,x,,,,https://www.linkedin.com/in/felipemendoza,https://www.linkedin.com/in/felipemendoza
,Arizona Founders Fund,Phoenix,AZ,1,,,,,3,,E-Commerce,1,Health Care,1,SaaS,1,Transportation,1,Real Estate,1,azff.co,https://www.crunchbase.com/organization/arizona-founders-fund,linkedin.com/company/11251468,x,,,,,"https://www.linkedin.com/in/ting-huang-5b017262, https://www.linkedin.com/in/tamdhillon, https://www.linkedin.com/in/steve-hallum-67936537, https://www.linkedin.com/in/ashritha-shetty-3ba21b103"
,Arka Venture Labs,Palo Alto,CA,1,,,1,$6.0,,,,,,,,,,,,,arka.vc,https://www.crunchbase.com/organization/arka-ventures-labs,linkedin.com/company/33197515,x,,,,,"https://www.linkedin.com/in/virajphanse, https://www.linkedin.com/in/syed-atifa-88a03b181, https://www.linkedin.com/in/yhemaraj, https://www.linkedin.com/in/john-kojiro-moriwaka-431a334a, https://www.linkedin.com/in/aarushi-k-71598022, https://www.linkedin.com/in/radhesh-kanumury-5785b8"
,Arkitekt Ventures,New York,NY,1,,,,,6,,Health Care,5,Medical,3,Biotechnology,2,Health Diagnostics,2,Apps,2,arkitektventures.com,https://www.crunchbase.com/organization/arkitekt-ventures,linkedin.com/company/18252356,x,,,,,"https://www.linkedin.com/in/enkebashllari, https://www.linkedin.com/in/uallabisbano, https://www.linkedin.com/in/sarahkfetter, https://www.linkedin.com/in/anastasia-auden, https://www.linkedin.com/in/julialisboa1010, https://www.linkedin.com/in/nicholas-calandra-812b3866, https://www.linkedin.com/in/jayesh-patel-307793296, https://www.linkedin.com/in/kyramgardner"
,Armory Square Ventures,Syracuse,NY,1,1,,,,12,1,Restaurants,2,Food & Beverage,1,Internet,1,Marketing,1,Digital Media,1,armorysv.com,https://www.crunchbase.com/organization/armorysquare-ventures,https://www.linkedin.com/company/armory-square-ventures/,x,,,"https://www.linkedin.com/in/amandevgan, https://www.linkedin.com/in/anthony-santaro-5b88ba109, https://www.linkedin.com/in/deena-chalabi-a8845b13, https://www.linkedin.com/in/eric-allyn-974487a, https://www.linkedin.com/in/jin-kwon-751256224, https://www.linkedin.com/in/kyle-ciminelli, https://www.linkedin.com/in/laura-kinder-7143411, https://www.linkedin.com/in/neenah-jain-547a714, https://www.linkedin.com/in/nomibergman, https://www.linkedin.com/in/p-tate-olinghouse-4041031, https://www.linkedin.com/in/peter-petrella-8609698, https://www.linkedin.com/in/piasawhney, https://www.linkedin.com/in/prabhdeep, https://www.linkedin.com/in/prestondegarmo, https://www.linkedin.com/in/pritam-advani-436454, https://www.linkedin.com/in/regan-hofmann, https://www.linkedin.com/in/richy-petrina-093bb810, https://www.linkedin.com/in/robert-lentz-73043416, https://www.linkedin.com/in/parikhronak, https://www.linkedin.com/in/somak-chattopadhyay-7662a, https://www.linkedin.com/in/shovagimyan, https://www.linkedin.com/in/mehtavikas, https://www.linkedin.com/in/zackschneider","https://www.linkedin.com/in/amandevgan, https://www.linkedin.com/in/anthony-santaro-5b88ba109, https://www.linkedin.com/in/deena-chalabi-a8845b13, https://www.linkedin.com/in/eric-allyn-974487a, https://www.linkedin.com/in/jin-kwon-751256224, https://www.linkedin.com/in/kyle-ciminelli, https://www.linkedin.com/in/laura-kinder-7143411, https://www.linkedin.com/in/neenah-jain-547a714, https://www.linkedin.com/in/nomibergman, https://www.linkedin.com/in/p-tate-olinghouse-4041031, https://www.linkedin.com/in/peter-petrella-8609698, https://www.linkedin.com/in/piasawhney, https://www.linkedin.com/in/prabhdeep, https://www.linkedin.com/in/prestondegarmo, https://www.linkedin.com/in/pritam-advani-436454, https://www.linkedin.com/in/regan-hofmann, https://www.linkedin.com/in/richy-petrina-093bb810, https://www.linkedin.com/in/robert-lentz-73043416, https://www.linkedin.com/in/parikhronak, https://www.linkedin.com/in/somak-chattopadhyay-7662a, https://www.linkedin.com/in/shovagimyan, https://www.linkedin.com/in/mehtavikas, https://www.linkedin.com/in/zackschneider","https://www.linkedin.com/in/somak-chattopadhyay-7662a, https://www.linkedin.com/in/kopelman, https://www.linkedin.com/in/shovagimyan, https://www.linkedin.com/in/anthony-santaro-5b88ba109, https://www.linkedin.com/in/parikhronak, https://www.linkedin.com/in/p-tate-olinghouse, https://www.linkedin.com/in/piasawhney"
,Array Ventures,San Francisco,CA,1,1,,2,$12.8,22,1,SaaS,6,Software,6,Internet,3,Artificial Intelligence,3,Machine Learning,2,array.vc,https://www.crunchbase.com/organization/array-ventures,https://www.linkedin.com/company/array-ventures/,x,,,https://www.linkedin.com/in/shrutigandhi,,https://www.linkedin.com/in/shrutigandhi
,Arthur Ventures,Fargo,ND,1,1,1,3,$116.6,41,6,Software,10,Enterprise Software,6,Health Care,5,SaaS,5,Analytics,5,arthurventures.com,https://www.crunchbase.com/organization/arthur-ventures-llc,https://www.linkedin.com/company/arthur-ventures/,x,,,"https://www.linkedin.com/in/ryan-kesti-84a7b864, https://www.linkedin.com/in/andrew-heim-17303537, https://www.linkedin.com/in/annatalerico, https://www.linkedin.com/in/anthonydjames, https://www.linkedin.com/in/avnika-gupta, https://www.linkedin.com/in/cael-berg-a95b451aa, https://www.linkedin.com/in/chloe-ginkel-bb8598227, https://www.linkedin.com/in/derekbuschow, https://www.linkedin.com/in/emma-seymour-262664160, https://www.linkedin.com/in/ginadthompson, https://www.linkedin.com/in/jake-olson-7158b9108, https://www.linkedin.com/in/jamesburgum, https://www.linkedin.com/in/jeff-yurecko-5a22166, https://www.linkedin.com/in/kamaljot-singh-08585631a, https://www.linkedin.com/in/kaumudhsinde, https://www.linkedin.com/in/kruizenga, https://www.linkedin.com/in/kyle-frederick-b1440ab3, https://www.linkedin.com/in/marcus-chorney, https://www.linkedin.com/in/nickgoblisch, https://www.linkedin.com/in/stephanie-shaw-mba, https://www.linkedin.com/pub/doug-burgum, https://www.linkedin.com/pub/patrick-meenan",,"https://www.linkedin.com/in/kruizenga, https://www.linkedin.com/in/yurecko, https://www.linkedin.com/in/annatalerico, https://www.linkedin.com/in/derekbuschow"
,Aspect Ventures,Palo Alto,CA,1,,,2,$331.0,73,6,Internet,8,SaaS,8,Health Care,7,Apps,7,Software,7,aspectventures.com,https://www.crunchbase.com/organization/aspect-ventures,linkedin.com/company/4767288,x,,,,,"https://www.linkedin.com/in/elle-klein-88457a107, https://www.linkedin.com/in/roberta-zani-06b744241, https://www.linkedin.com/in/fionnuala-heatley, https://www.linkedin.com/in/latoya-lewis-75068661, https://www.linkedin.com/in/neha-kollikara, https://www.linkedin.com/in/annalisanielsen"
,Atlanta Seed Company,Atlanta,GA,1,,,,,7,,Software,3,Internet,2,Parenting,1,Developer APIs,1,Health Care,1,atlantaseedcompany.com,https://www.crunchbase.com/organization/atlanta-seed-company,linkedin.com/company/10807898,x,,,,,"https://www.linkedin.com/in/connordavidsonatl, https://www.linkedin.com/in/hassan-hammad-58445a259, https://www.linkedin.com/in/christopher-everest-36322132, https://www.linkedin.com/in/immanuel-larry-885382bb, https://www.linkedin.com/in/stephen-danner-01059a124, https://www.linkedin.com/in/andrew-mcculley-44a457103"
,Atlas Venture,Cambridge,MA,1,,,6,,488,125,Biotechnology,64,Health Care,47,Therapeutics,39,Software,32,Medical,29,atlasventure.com,https://www.crunchbase.com/organization/atlas-venture,linkedin.com/company/17650,x,,,,,"https://www.linkedin.com/in/kbitterman, https://www.linkedin.com/in/codytranbarger, https://www.linkedin.com/in/ericschmid, https://www.linkedin.com/in/ismaelferneyromerohurtado, https://www.linkedin.com/in/maurizio-fazio, https://www.linkedin.com/in/dania-rabah-b7b5291"
,Atomic VC,San Francisco,CA,1,1,,2,$170.0,6,1,Health Care,2,Software,2,Wellness,2,Facial Recognition,1,CRM,1,atomic.vc,https://www.crunchbase.com/organization/atomic-2,https://www.linkedin.com/company/atomic-labs/,x,,,,,"https://www.linkedin.com/in/jackabraham, https://www.linkedin.com/in/chest, https://www.linkedin.com/in/marianpond, https://www.linkedin.com/in/richardgling"
,ATX Seed Ventures,Austin,TX,1,1,,2,$23.3,38,4,SaaS,7,Machine Learning,4,Enterprise Software,4,Travel,3,Analytics,3,atxseedventures.com,https://www.crunchbase.com/organization/atx-seed-ventures,https://www.linkedin.com/company/atx-seed-ventures/,x,,,,,"https://www.linkedin.com/in/joe-ross-a9b25a4, https://www.linkedin.com/in/eric-foultz-6404214, https://www.linkedin.com/in/rollin-w-king-jr-7658544, https://www.linkedin.com/in/richard-burns-pe-a94b912b, https://www.linkedin.com/in/brent-elyea-mba-crpc, https://www.linkedin.com/in/emmaleeday, https://www.linkedin.com/in/dgodwin4, https://www.linkedin.com/in/david-wynne-8541b099"
,Authentic Ventures,Oakland,CA,1,1,,,,8,1,Education,1,Social Sopping,1,Internet,1,Consumer Goods,1,Machine Learning,1,authentic-ventures.com,https://www.crunchbase.com/organization/authentic-ventures-2,,x,,,,,"https://www.linkedin.com/in/gdawit, https://www.linkedin.com/in/brianabillingham, https://www.linkedin.com/in/ingridek, https://www.linkedin.com/in/glen-stark-57875441, https://www.linkedin.com/in/marylee-thexton-874643a7, https://www.linkedin.com/in/marya-diana-safi-49b381190"
,Autochrome Ventures,Santa Monica,CA,1,1,1,,,5,,Software,2,Artificial Intelligence,2,CRM,1,Blockchain,1,Health Care,1,autochrome.vc,https://www.crunchbase.com/organization/autochrome-ventures,,x,,,,,"https://www.linkedin.com/in/vaughn-blake-13050a7, https://www.linkedin.com/in/harlem-sanchez-a00bb33a4, https://www.linkedin.com/in/jesse-nichols-hl, https://www.linkedin.com/in/yves-lucas-89970b5b, https://www.linkedin.com/in/alexeiandreev, https://www.linkedin.com/in/chrome-ventures-94864137a, https://www.linkedin.com/in/yves-lucas-20ab0527a"
